Aux,CrSem,CeSem,CdEvSem,CeSynt,EPTrans,Country,Domain
doen,Inanim,Inanim,NonMent,NP,Intr,BE,E
laten,Anim,Anim,NonMent,NP,Intr,BE,F
laten,Anim,Anim,NonMent,NP,Intr,NL,F
laten,Anim,Anim,NonMent,NP,Intr,NL,F
laten,Anim,Anim,NonMent,NP,Intr,NL,F
laten,Anim,Anim,NonMent,NP,Intr,BE,F
laten,Anim,Anim,NonMent,NP,Intr,NL,F
laten,Anim,Anim,NonMent,NP,Intr,BE,F
laten,Anim,Anim,NonMent,NP,Intr,NL,F
laten,Anim,Anim,NonMent,NP,Intr,NL,F
laten,Anim,Anim,Ment,NP,Intr,NL,M
laten,Anim,Anim,Ment,NP,Intr,NL,P
laten,Anim,Anim,NonMent,NP,Intr,NL,E
laten,Anim,Anim,NonMent,NP,Intr,NL,E
laten,Anim,Anim,NonMent,NP,Intr,BE,E
