Word,Length,SUBTLWF,POS,Mean_RT
pupate,6,0.06,VB,761.4
skydiver,8,0.08,NN,696.48
Bismarck,8,2,NN,899.7
encores,7,0.14,NN,795.92
intruding,9,1.84,VB,752.17
paradigmatic,12,0.02,JJ,1098.56
insanity,8,7.67,NN,792.63
admissions,10,2.18,NN,685.88
greets,6,0.43,VB,738.48
impassioned,11,0.37,JJ,835.17
insatiable,10,0.98,JJ,835.71
malcontent,10,0.2,NN,925.48
farces,6,0.02,NN,947.24
crepe,5,0.82,JJ,825.74
mere,4,7.86,JJ,727.72
inevitabilities,15,0.02,NN,1020.31
cupboard,8,2.49,NN,757.73
myths,5,1.24,NN,614.91
distributor,11,1.53,NN,896.3
professionals,13,4.53,NN,816.97
boor,4,0.06,NN,720.33
yeasts,6,0.06,NN,705.48
creamery,8,0.12,NN,828.41
spirituals,10,0.08,NN,750.21
scone,5,0.49,NN,734.5
tortuous,8,0.12,JJ,806.37
potion,6,7.45,NN,785.22
fours,5,2.06,NN,666.81
underbid,8,0.02,VB,869.93
roadways,8,0.1,NN,658.03
unattached,10,0.55,JJ,814.83
discreditable,13,0.02,JJ,1223.82
abbreviation,12,0.24,NN,728.91
forefather,10,0.02,NN,751.77
unhorse,7,0.08,VB,985.73
sediment,8,0.41,NN,742.52
suspect,7,44.2,NN,629.71
antecedent,10,0.06,NN,818
peevish,7,0.16,JJ,692.18
demoniac,8,0.02,JJ,885.88
sued,4,4.86,VB,735.31
effortless,10,0.41,JJ,724.42
nonpayment,10,0.16,NN,813.84
buries,6,0.76,VB,800.06
erasure,7,0.06,NN,729.33
evergreen,9,0.2,NN,671.94
formations,10,0.65,NN,750.71
evaded,6,0.24,VB,764.55
capitulation,12,0.1,NN,935.46
lecturing,9,1.41,VB,741.63
sweeten,7,0.78,VB,811.19
ascending,9,0.69,VB,786.49
messenger,9,8.06,NN,596.76
snobs,5,0.51,NN,679.79
inoperable,10,0.65,JJ,1006.42
phobic,6,0.16,JJ,727.1
gigantic,8,3.73,JJ,694.85
survivor,8,4.33,NN,604.88
consequence,11,3.14,NN,688.97
follower,8,0.67,NN,800.58
dozed,5,0.8,VB,711.44
compile,7,0.53,VB,715.55
jotted,6,0.29,VB,734.96
kappa,5,1.04,NN,915.72
pubic,5,1.18,JJ,788.45
trophies,8,2.29,NN,685.83
smothered,9,1.31,VB,720.97
lauder,6,0.24,NN,879.11
disinclination,14,0.04,NN,1148.12
bower,5,0.25,NN,933.78
cartoonists,11,0.04,NN,821.35
computations,12,0.2,NN,897.93
sentimentality,14,0.47,NN,910.87
borrows,7,0.49,VB,688.16
subscription,12,1.33,NN,768.16
humus,5,0.06,NN,816.75
regimentation,13,0.1,NN,1023.13
drapery,7,0.06,NN,807.72
cutlery,7,0.35,NN,812.67
classmate,9,1.53,NN,679.56
tracers,7,0.24,NN,713.21
